ra,dec,frequency,flux,flux_err,upper_limit
76.50667,-38.34861,2.420E+25,4.190E-13,0.000E+00,UL
76.86333,-33.77639,2.420E+23,1.989E-13,8.490E-14,
76.86333,-33.77639,4.110E+23,2.497E-13,7.478E-14,
76.86333,-33.77639,7.250E+23,2.927E-13,6.789E-14,
76.86333,-33.77639,1.210E+24,3.805E-13,8.415E-14,
76.86333,-33.77639,2.418E+24,5.332E-13,9.721E-14,
76.86333,-33.77639,4.110E+24,8.154E-13,1.383E-13,
76.86333,-33.77639,7.250E+24,8.936E-13,1.819E-13,
76.86333,-33.77639,1.210E+25,9.071E-13,2.408E-13,
76.86333,-33.77639,2.420E+25,6.657E-13,4.629E-13,
84.11167,-25.79667,2.420E+23,2.075E-13,1.081E-13,
84.11167,-25.79667,4.110E+23,2.366E-13,7.536E-14,
84.11167,-25.79667,7.250E+23,2.718E-13,6.685E-14,
84.11167,-25.79667,1.210E+24,2.561E-13,8.194E-14,
84.11167,-25.79667,2.418E+24,1.553E-13,8.938E-14,
84.11167,-25.79667,4.110E+24,1.888E-13,1.387E-13,
84.11167,-25.79667,7.250E+24,1.597E-13,1.476E-13,
84.11167,-25.79667,1.210E+25,2.482E-13,1.804E-13,
84.11167,-25.79667,2.420E+25,4.190E-13,0.000E+00,UL
84.18875,-25.97806,2.420E+23,1.144E-13,8.462E-14,
84.18875,-25.97806,4.110E+23,1.506E-13,7.036E-14,
84.18875,-25.97806,7.250E+23,2.057E-13,6.659E-14,
84.18875,-25.97806,1.210E+24,2.669E-13,8.039E-14,
84.18875,-25.97806,2.418E+24,2.008E-13,9.662E-14,
84.18875,-25.97806,4.110E+24,1.401E-13,1.114E-13,
84.18875,-25.97806,7.250E+24,4.000E-13,1.785E-13,
84.18875,-25.97806,1.210E+25,3.140E-13,2.020E-13,
84.18875,-25.97806,2.420E+25,4.190E-13,0.000E+00,UL
89.32,-6.285,2.420E+23,6.030E-13,3.010E-13,
89.32,-6.285,4.110E+23,5.073E-13,1.408E-13,
89.32,-6.285,7.250E+23,4.027E-13,1.112E-13,
89.32,-6.285,1.210E+24,4.455E-13,1.130E-13,
89.32,-6.285,2.418E+24,3.015E-13,1.154E-13,
89.32,-6.285,4.110E+24,5.442E-13,1.676E-13,
89.32,-6.285,7.250E+24,5.885E-13,2.299E-13,
89.32,-6.285,1.210E+25,6.937E-13,2.883E-13,
89.32,-6.285,2.420E+25,9.579E-13,1.384E-13,
